run_name,B0_ttft,C06_ttft,C11_ttft,B0_tps,C06_tps,C11_tps,B0_to_C11_ttft_improve_pct,C06_to_C11_ttft_improve_pct,B0_to_C11_tps_ratio,C11_hard_gate
r1_baseline,20.063,15.820,13.419,116.909,146.755,168.248,33.116,15.177,1.439,True
r2_flash_only,19.540,15.213,13.530,117.471,141.537,168.709,30.757,11.063,1.436,True
r3_compile_only,18.241,15.440,13.586,117.355,147.353,170.075,25.519,12.008,1.449,True
r4_flash_compile,18.159,15.211,13.418,117.405,146.701,166.821,26.108,11.788,1.421,True
r5_phi3_confirm,1481.101,388.969,385.366,1.267,5.067,5.057,73.981,0.926,3.991,True
